ID,SMILES,DATA
236,CC(C)C1=CCC2C(=C1)CCC3C2(CCCC3(C)C(=O)O)C,4
237,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,6.128
238,CCN(CC)C(=S)S,7.354
239,c1cc(ccc1/N=N/c2ccc(c(c2)C(=O)O)O)[N+](=O)[O-],4.547
240,c1cc(c(c2c1C(=O)c3c(ccc(c3C2=O)O)O)O)O,4.695
241,C[C@H]1[C@@H]2CC[C@]3(C=CC(=O)C(=C3[C@H]2OC1=O)C)C,4
242,c1[nH]c2c(c(=S)n1)ncn2C3C(C(C(O3)CO)O)O,5.475
243,CCCNc1c2cn[nH]c2ncn1,4
244,CCCNc1c2c(ncn1)n(cn2)C,4.656
245,COc1ccc(cc1)O,4.22
246,CC(C)(C)c1cc(ccc1O)O,5.308
247,CCN(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,7.918
248,Cc1cc(ccc1N)C(=C2C=CC(=Nc3ccccc3)C=C2)c4ccc(cc4)Nc5ccccc5,6.453
249,Cc1cc(ccc1N)C(c2ccc(cc2)Nc3ccccc3)(c4ccc(cc4)Nc5ccc(cc5)S(=O)(=O)O)O,6.358
250,CCN(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)Cc3cccc(c3)S(=O)(=O)O)C=C2)c4ccc(cc4)N(CC)Cc5cccc(c5)S(=O)(=O)O,5.181
251,c1c(cc(c(c1O)O)O)C(=O)Oc2cc(cc(c2O)O)C(=O)OCC3C(C(C(C(O3)OC(=O)c4cc(c(c(c4)OC(=O)c5cc(c(c(c5)O)O)O)O)O)OC(=O)c6cc(c(c(c6)OC(=O)c7cc(c(c(c7)O)O)O)O)O)OC(=O)c8cc(c(c(c8)OC(=O)c9cc(c(c(c9)O)O)O)O)O)OC(=O)c1cc(c(c(c1)OC(=O)c1cc(c(c(c1)O)O)O)O)O,4.741
252,c1ccc(cc1)N2C3N(C2=NN3c4ccccc4)c5ccccc5,4.684
253,CN(C)c1ccc(cc1)/C=C/2\C(=O)NC(=S)S2,4
254,c1ccc2c(c1)c(ccc2O)/N=N/c3ccc(cc3)[N+](=O)[O-],5.372
255,c1ccc(cc1)c2nn([n+](n2)c3ccccc3)c4ccccc4,6.144
256,C=CC[N+]12CN3CN(C1)CN(C3)C2,5.234
257,Cc1cc(cc(c1/N=N/c2ccc(cc2)[N+](=O)[O-])O)O,5.245
258,C1CN2CC3=CCOC(C4C3CC2C15C4NC6=C(C(=O)C(=O)C=C56)[N+](=O)[O-])CC(=O)O,4.743
259,c1cc(ccc1c2coc3cc(cc(c3c2=O)O)OC4C(C(C(C(O4)CO)O)O)O)O,4.7055
260,CC(=CCc1c(c2c(=O)c(coc2c3c1OC(C=C3)(C)C)c4ccc(c(c4)O)O)O)C,6.141
261,c1cc(ccc1C(=O)CCC(=O)O)Cl,4
262,Cc1c(ccc2c1oc(=O)c(c2O)NC(=O)c3ccc4c(c3)CCC(O4)(C)C)O,4
263,Cc1ccc2c3c1c(=O)oc4c3c(c(c5c4c(ccc5)OC6C(C(C(C(O6)C)O)O)OC7C(C(C(C(O7)C)O)OC)O)O)c(=O)o2,6.108
264,c1ccc2c(c1)ccc-3c2C(=O)C(=O)c4c3cccc4,5.663
265,c1ccc(cc1)/N=N/c2c([nH]c(nc2=O)N)N,4.439
266,CCCCCCCCCCCC1N=C(N=C(N1c2cccc(c2)Br)N)N,5.895
267,c1c(c(c(c(c1Cl)Cl)[N+](=O)[O-])Cl)[N+](=O)[O-],6.627
268,CC[Sn](CC)(CC)Cl,6.434
269,c1ccc2c(c1)ccc(c2/N=N\c3ccccn3)O,6.506
270,CCCCCCCCCCCC[n+]1ccccc1,6.14
271,c1ccc(c(c1)C(=O)O)SCC(=O)O,4
272,c1ccc(c(c1)N)N,4.675
273,COc1ccc2cc-3[n+](cc2c1OC)CCc4c3cc5c(c4)OCO5,4.98
274,COc1ccc2c(c1)c(ccn2)C(C3CC4CCN3CC4C=C)O,4.163
275,C=CC1CN2CCC1CC2C(c3ccnc4c3cccc4)O,4
276,CN1CCc2cc3c(c(c2[C@@H]1[C@@H]4c5ccc(c(c5C(=O)O4)OC)OC)OC)OCO3,4.889
277,CCN(CC)c1ccc(cc1)N=O,6.028
278,Cc1c2cc(c(cc2oc-3cc(=O)c(cc13)O)O)O,4.077
279,CC(=O)C(C(c1ccccc1)N2CCOCC2)N3CCOCC3,4.773
280,c1cc2c(ccnc2cc1Cl)NCC(CNc3ccnc4c3ccc(c4)Cl)O,5.72
281,CC[n+]1c(ccc2c1cccc2)/C=C/3\C=CN(c4c3cccc4)CC,7.066
282,CC1C(C(C(C(O1)OC2C(C(C(OC2Oc3cc(c4c(c3)O[C@@H](CC4=O)c5ccc(cc5)O)O)CO)O)O)O)O)O,4
283,C[n+]1c(sc2c1c3ccccc3cc2)/C=C/c4ccc(cc4)N(C)C,6.481
284,C(C(C(C(C(=O)CN)O)O)O)O,4
285,CC(=O)/C=C/c1ccccc1,4.345
286,c1ccc2c(c1)NC(C(=O)S2)(CC(=O)O)CC(=O)O,4
287,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(cc1)OC)c2ncccn2,6.398
288,CC[C@H]1[C@H](COC1=O)Cc2cncn2C,4
289,c1ccc(c(c1)CO)OC2C(C(C(C(O2)CO)O)O)O,4
290,c1ccc(cc1)C(=O)NC(=S)Nc2ccc(cc2)Cl,4
291,Cc1c(c(c(c(c1Cl)C)Cl)O)Cc2c(c(c(c(c2O)Cl)C)Cl)C,5.59
292,c1cc2c(ccnc2cc1Cl)NCCNc3ccnc4c3ccc(c4)Cl,4.837
293,Cc1c(cc(c(c1Cc2c(c(cc(c2O)C(C)(C)C)Cl)C)O)C(C)(C)C)Cl,6.519
294,C(CCN)CN,4
295,Cc1cc2c(c(c1)OC)OC(CC2=O)c3ccccc3,4
296,Cc1c(c(c2c(c1O)C3(C(=CC(=O)C(C3=O)C(=O)C)O2)C)C(=O)C)O,5.371
297,Cc1c(c(c2c(c1O)C3(C(=CC(=O)C(C3=O)C(=O)C)O2)C)C(=O)C)O,4.683
