EQ_ID,Energy,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
EQ67,-1.360721088,2.03072,2.03477,2.04969,2.09858,2.11719,2.13123,2.13208,2.14278,2.15375,2.15396,2.15493,2.1626,2.27874,2.29417,2.40321,3.46248,3.46263
EQ68,-1.359982667,1.98708,2.01511,2.04427,2.04985,2.05977,2.06474,2.06598,2.07476,2.1047,2.12035,2.12206,2.12356,2.12715,2.17397,3.18427,3.33415,3.41086
EQ69,-1.356703109,2.03692,2.03885,2.04077,2.04609,2.08176,2.08353,2.0957,2.1043,2.11862,2.12409,2.12818,2.17302,2.19191,2.51244,2.96297,3.32933,3.48178
EQ70,-1.356030502,2.01741,2.02302,2.03574,2.04413,2.04464,2.07584,2.08338,2.09701,2.09982,2.10244,2.11062,2.12942,2.13883,2.18365,2.30883,3.38245,3.3841
EQ71,-1.355441421,1.99507,1.99986,2.01717,2.03423,2.07169,2.1056,2.11412,2.15448,2.1585,2.19819,2.19934,2.25457,2.26481,2.27378,2.32522,2.94931,3.49088
EQ72,-1.355092641,1.96977,2.03675,2.0531,2.05341,2.07444,2.07707,2.09522,2.10528,2.15501,2.17351,2.18224,2.1888,2.24441,2.3167,3.0016,3.39352,3.41277
EQ73,-1.350401555,1.96603,1.9832,2.01525,2.06441,2.06444,2.06984,2.06987,2.0849,2.08491,2.09262,2.09268,2.09962,2.09963,2.17155,2.17156,3.31888,3.31889
EQ74,-1.345430167,2.01047,2.0364,2.03965,2.04464,2.05388,2.06096,2.07544,2.10028,2.13619,2.14903,2.17118,2.17327,2.20064,2.28339,2.99524,3.35371,3.3727
EQ75,-1.341099562,2.00531,2.01196,2.04626,2.05949,2.08825,2.09512,2.11341,2.14728,2.15469,2.16717,2.18289,2.184,2.29469,2.35428,2.41031,3.36664,3.43501
EQ76,-1.340632555,2.01241,2.02018,2.04056,2.04818,2.05617,2.08301,2.09634,2.10657,2.11073,2.13251,2.1411,2.19657,2.22042,2.60029,2.61513,3.15565,3.53028
EQ77,-1.33924883,2.03588,2.0359,2.0359,2.04701,2.04703,2.06091,2.06092,2.08409,2.08411,2.11785,2.11787,2.15236,2.15238,2.21602,2.63403,3.49662,3.96067
EQ78,-1.339027025,1.99876,2.03729,2.03785,2.06005,2.06213,2.06898,2.09921,2.11572,2.11884,2.12286,2.1305,2.13647,2.14487,2.1614,2.44176,2.91337,3.83473
EQ79,-1.33761358,2.01245,2.04029,2.05448,2.06601,2.06921,2.07095,2.07153,2.0752,2.08831,2.08846,2.09933,2.10588,2.14737,2.20772,2.3589,3.37419,3.43844
EQ80,-1.337334615,1.96607,1.99399,2.00083,2.00229,2.02316,2.02667,2.04227,2.0524,2.06795,2.08633,2.11394,2.14581,2.22575,2.40951,2.80084,3.43227,3.44733
EQ81,-1.335267369,2.02814,2.02911,2.03379,2.03528,2.07592,2.10252,2.10579,2.14396,2.16221,2.17196,2.1735,2.17938,2.2153,2.23328,2.26167,3.5067,3.98206
EQ82,-1.334369243,2.02856,2.02856,2.04015,2.04016,2.04447,2.04447,2.04986,2.04986,2.05826,2.05826,2.08208,2.08208,2.14612,2.14806,2.79665,2.87377,3.81336
EQ83,-1.333564654,2.01881,2.02349,2.03851,2.0411,2.04952,2.05952,2.05992,2.06999,2.08208,2.08915,2.10182,2.1404,2.18039,2.21348,2.61712,3.44811,3.7036
EQ84,-1.332646939,1.99459,1.99754,2.00203,2.00714,2.00917,2.04869,2.05927,2.07727,2.08098,2.09288,2.11797,2.12423,2.13458,2.23057,2.59305,3.3247,3.40892
EQ85,-1.330670981,1.98228,2.00837,2.01646,2.03221,2.03733,2.05586,2.0584,2.06798,2.08647,2.08726,2.11048,2.15324,2.16469,2.22727,2.72179,3.14647,3.23501
EQ86,-1.328101718,2.01641,2.02926,2.03608,2.04344,2.05674,2.07384,2.12965,2.14087,2.14202,2.1508,2.15639,2.21002,2.25528,2.32544,2.3611,3.4791,3.94992
EQ87,-1.326962918,2.01523,2.01688,2.01723,2.03071,2.038,2.04003,2.05722,2.06216,2.07818,2.11635,2.13585,2.1424,2.14826,2.1561,2.35749,3.39437,3.4267
EQ88,-1.324604493,1.98843,1.99379,2.03587,2.03589,2.06284,2.06284,2.06558,2.06558,2.06707,2.1079,2.10791,2.15928,2.18811,2.18815,2.81266,2.8127,3.8936
EQ89,-1.324380035,2.02252,2.02259,2.04114,2.04121,2.05245,2.05247,2.05927,2.05927,2.09215,2.09219,2.13248,2.13255,2.15374,2.21062,2.23392,3.35777,3.75891
EQ90,-1.323997628,1.9977,2.03737,2.06579,2.07484,2.0824,2.08834,2.09613,2.10446,2.14385,2.14874,2.15731,2.23123,2.27344,2.29286,2.32939,3.43264,3.48057
EQ91,-1.323063255,2.03991,2.05542,2.06959,2.0709,2.07091,2.07309,2.07677,2.0789,2.08614,2.10434,2.13951,2.14272,2.15359,2.85381,3.29702,3.345,3.35638
EQ92,-1.315211844,1.96057,1.96089,2.00967,2.01648,2.0252,2.02732,2.03447,2.0422,2.06905,2.0823,2.09398,2.10047,2.1917,2.20055,3.69757,3.9667,5.28407
EQ93,-1.311626661,1.98654,2.00951,2.04003,2.05473,2.05621,2.05629,2.05664,2.0578,2.06006,2.08754,2.10033,2.11852,2.17282,2.17851,2.19746,3.29151,3.83838
EQ94,-1.294555042,1.97714,1.99179,2.01451,2.03077,2.03193,2.03504,2.04934,2.05109,2.05119,2.0622,2.09857,2.10385,2.11911,2.97355,3.15072,3.28612,3.88658
